0,2,1,11,0,3,0,0,0,0,0,0,0,0
9,2,1,8,1,0,0,0,0,0,0,1,1,10
0,0,-1,8,0,0,0,0,0,0,0,1,2,0
0,0,-1,0,0,0,0,1,1,1,0,1,2,0
0,0,1,9,0,0,0,1,2,0,0,1,3,0
0,0,1,9,0,0,0,0,0,1,0,1,3,0
6,1,1,10,0,0,0,1,2,0,0,1,3,0
0,0,-1,9,0,0,0,1,2,1,0,1,1,0
0,0,1,7,0,0,0,1,2,0,0,1,1,0
0,0,-1,0,0,0,0,0,0,2,0,2,4,1
0,0,1,6,0,0,0,0,0,0,0,0,2,2
0,0,-1,6,0,0,0,1,2,2,0,2,4,0
0,0,1,5,0,0,0,0,0,0,0,1,2,1
0,0,-1,0,0,0,0,0,0,2,0,2,4,0
0,0,0,6,0,0,0,0,0,3,0,1,2,0
0,0,-1,8,0,0,0,2,3,0,0,3,4,0
0,0,1,5,0,0,0,1,2,0,0,1,2,1
0,0,1,6,0,0,0,1,2,0,0,4,2,0
0,0,-1,7,0,0,0,0,0,2,0,2,4,1
0,0,-1,7,0,0,0,0,0,0,0,5,4,0
0,0,-1,8,0,0,0,1,2,0,0,1,1,1
0,0,1,6,0,0,0,0,0,3,0,1,3,0
0,0,1,6,0,0,0,0,0,0,0,1,2,0
0,3,-1,0,0,0,0,0,0,2,0,2,4,3
0,0,1,8,0,0,0,1,2,0,0,0,0,0
1,0,-1,0,0,0,0,0,0,0,0,1,3,4
0,0,-1,0,0,0,0,1,2,2,0,2,4,0
0,0,-1,6,0,0,0,1,2,2,0,2,4,0
0,0,-1,0,0,0,0,0,0,0,0,1,3,0
0,0,-1,6,0,0,0,1,2,0,0,6,5,0
0,0,-1,8,0,0,0,1,2,0,0,1,1,0
6,1,-1,3,0,0,0,0,0,1,0,6,5,0
0,0,-1,0,0,0,0,0,0,0,0,5,2,2
0,0,0,10,0,0,0,0,0,0,0,0,1,0
0,0,-1,0,0,0,0,0,0,2,0,2,4,2
0,0,0,7,0,0,0,0,0,0,0,0,0,2
0,0,-1,0,0,0,0,3,3,2,0,2,4,0
0,0,-1,0,0,0,0,1,1,2,0,2,4,0
0,0,1,11,0,0,0,1,2,1,0,0,1,1
0,0,1,6,0,0,0,0,0,0,0,1,2,0
6,2,-1,9,0,0,0,1,2,0,0,1,2,0
1,0,-1,0,0,0,0,0,0,0,0,3,4,3
0,0,-1,0,0,3,0,1,1,2,0,2,4,10
0,0,1,7,0,2,0,1,2,0,0,3,4,0
0,0,1,6,0,0,0,1,2,3,0,0,2,0
4,1,0,6,0,2,0,0,0,0,0,1,1,0
0,0,1,9,1,2,0,1,2,0,0,0,0,0
0,0,1,8,0,2,0,0,0,3,0,1,1,5
0,0,-1,10,0,2,0,1,2,0,0,1,3,1
0,0,-1,6,1,2,0,0,0,0,0,1,2,0
1,0,-1,0,0,3,0,1,2,0,0,1,3,1
6,2,-1,5,0,2,0,2,3,3,0,0,2,0
0,0,1,11,0,2,0,1,2,4,0,1,1,0
0,0,1,9,0,3,0,1,2,3,0,0,0,0
5,1,0,6,0,0,0,0,0,3,0,0,2,0
0,0,-1,0,0,3,0,1,2,2,0,2,4,0
0,0,1,8,0,3,0,0,0,0,0,1,2,4
0,0,-1,0,0,2,0,0,0,0,0,0,2,0
1,0,1,13,0,2,0,0,0,3,0,1,1,0
0,0,1,6,0,3,0,0,0,0,0,0,2,1
0,0,-1,0,1,2,0,3,1,0,0,0,2,2
10,3,-1,6,0,2,0,0,0,2,0,2,4,0
0,0,-1,0,0,2,0,0,0,2,0,2,4,0
0,0,-1,0,0,3,0,0,0,4,0,6,5,0
0,0,1,5,0,2,0,1,2,0,0,1,2,1
0,0,1,8,0,2,0,1,2,3,0,0,2,0
0,0,1,0,1,0,0,0,0,1,0,1,3,0
0,0,-1,7,0,3,0,0,0,3,0,1,3,0
0,0,1,6,1,0,0,1,2,0,0,0,1,0
0,0,0,7,0,2,0,2,3,1,0,1,2,0
12,0,-1,0,0,2,0,0,0,3,0,0,2,10
4,1,-1,9,0,2,0,0,0,2,0,2,4,0
0,0,1,10,0,3,0,0,0,0,0,1,1,5
0,0,-1,0,0,0,0,2,3,1,0,1,1,0
1,0,-1,5,0,0,0,1,2,2,0,2,4,0
0,0,-1,0,0,3,0,0,0,2,0,2,4,0
0,0,0,7,1,3,0,3,1,0,0,0,2,2
0,0,-1,0,0,3,0,0,0,3,0,1,1,3
0,0,-1,0,0,2,0,1,2,2,0,2,4,0
1,0,-1,13,0,2,0,0,0,2,0,2,4,0
0,0,1,6,0,3,0,2,3,3,0,1,3,3
0,0,0,7,1,3,0,3,1,0,0,1,3,0
1,0,-1,0,0,2,0,0,0,2,0,2,4,0
0,0,-1,8,0,2,0,3,3,2,0,2,4,1
0,0,-1,0,0,3,0,3,3,2,0,2,4,0
0,0,-1,6,0,3,0,0,0,0,0,3,5,0
0,0,-1,5,0,2,0,0,0,0,0,1,2,0
1,0,1,9,0,0,0,4,3,3,0,1,1,0
0,0,1,12,1,2,0,3,1,3,0,0,1,0
